iter	Passed	Remaining
497	1200	1210
498	1201	1206
499	1202	1202
500	1205	1200
501	1207	1197
502	1208	1194
503	1210	1191
504	1211	1187
505	1212	1184
506	1214	1180
507	1215	1177
508	1216	1173
509	1218	1170
510	1219	1166
511	1221	1163
512	1223	1161
513	1226	1159
514	1227	1156
515	1229	1152
516	1230	1149
517	1231	1146
518	1234	1143
519	1238	1143
520	1240	1140
521	1242	1137
522	1243	1134
523	1245	1131
524	1246	1127
525	1247	1124
526	1251	1123
527	1253	1120
528	1255	1117
529	1256	1114
530	1258	1111
531	1259	1108
532	1260	1104
533	1261	1101
534	1263	1098
535	1266	1096
536	1268	1093
537	1270	1090
538	1271	1087
539	1272	1084
540	1273	1080
541	1275	1077
542	1276	1074
543	1277	1070
544	1280	1068
545	1283	1067
546	1284	1064
547	1286	1060
548	1287	1057
549	1288	1054
550	1289	1051
551	1291	1047
552	1292	1044
553	1293	1041
554	1297	1040
555	1298	1037
556	1299	1033
557	1301	1030
558	1302	1027
559	1303	1024
560	1304	1020
561	1306	1017
562	1307	1014
563	1308	1011
564	1312	1010
565	1314	1007
566	1315	1004
567	1317	1001
568	1318	998
569	1320	995
570	1321	992
571	1322	989
572	1324	987
573	1327	985
574	1328	982
575	1330	979
576	1331	976
577	1332	972
578	1333	969
579	1335	966
580	1336	963
581	1337	960
582	1338	957
583	1340	955
584	1342	952
585	1343	949
586	1345	946
587	1346	943
588	1348	940
589	1349	937
590	1351	935
591	1352	932
592	1353	929
593	1356	926
594	1358	924
595	1360	921
596	1361	919
597	1362	916
598	1364	913
599	1365	910
600	1367	907
601	1371	906
602	1372	903
603	1375	901
604	1376	898
605	1378	896
606	1379	893
607	1380	890
608	1381	887
609	1383	884
610	1384	881
611	1386	879
612	1387	876
613	1389	873
614	1390	870
615	1391	867
616	1392	864
617	1394	861
618	1395	858
619	1396	855
620	1397	853
621	1400	850
622	1401	848
623	1403	845
624	1404	842
625	1406	840
626	1407	837
627	1408	834
628	1409	831
629	1410	828
630	1412	825
631	1414	823
632	1416	821
633	1417	818
634	1419	815
635	1420	812
636	1421	810
637	1422	807
638	1423	804
639	1425	801
640	1426	798
641	1427	796
642	1429	793
643	1431	791
644	1432	788
645	1434	785
646	1435	783
647	1437	780
648	1438	777
649	1439	775
650	1440	772
651	1442	769
652	1444	767
653	1446	765
654	1448	762
655	1449	760
656	1450	757
657	1451	754
658	1453	751
659	1454	749
660	1455	746
661	1456	743
662	1459	741
663	1461	739
664	1462	736
665	1463	734
666	1464	731
667	1466	728
668	1467	726
669	1468	723
670	1469	720
671	1471	718
672	1472	715
673	1474	713
674	1476	710
675	1477	708
676	1478	705
677	1479	702
678	1481	700
679	1482	697
680	1483	694
681	1484	692
682	1486	689
683	1488	687
684	1490	685
685	1492	683
686	1493	680
687	1495	678
688	1496	675
689	1497	672
690	1499	670
691	1500	667
692	1501	665
693	1503	662
694	1505	660
695	1506	658
696	1508	655
697	1509	653
698	1510	650
699	1512	648
700	1513	645
701	1515	643
702	1516	640
703	1518	638
704	1520	636
705	1521	633
706	1523	631
707	1524	628
708	1526	626
709	1527	623
710	1528	621
711	1530	618
712	1531	616
713	1534	614
714	1536	612
715	1537	610
716	1539	607
717	1540	605
718	1542	602
719	1543	600
720	1544	597
721	1546	595
722	1547	592
723	1550	590
724	1551	588
725	1552	586
726	1554	583
727	1556	581
728	1557	579
729	1558	576
730	1560	574
731	1561	571
732	1563	569
733	1565	567
734	1567	565
735	1568	562
736	1569	560
737	1571	557
738	1572	555
739	1573	552
740	1574	550
741	1576	548
742	1577	545
743	1579	543
744	1581	541
745	1583	538
746	1584	536
747	1585	534
748	1586	531
749	1588	529
750	1589	526
751	1590	524
752	1591	522
753	1593	520
754	1595	517
755	1598	515
756	1599	513
757	1601	511
758	1602	508
759	1603	506
760	1604	503
761	1605	501
762	1607	499
763	1610	497
764	1612	495
765	1613	492
766	1614	490
767	1615	488
768	1617	485
769	1618	483
770	1619	481
771	1621	478
772	1622	476
773	1624	474
774	1627	472
775	1629	470
776	1630	468
777	1632	465
778	1633	463
779	1635	461
780	1636	458
781	1637	456
782	1640	454
783	1641	452
784	1643	450
785	1644	447
786	1645	445
787	1646	443
788	1648	440
789	1649	438
790	1650	436
791	1652	434
792	1655	432
793	1657	429
794	1658	427
795	1659	425
796	1660	423
797	1662	420
798	1663	418
799	1664	416
800	1666	413
801	1667	411
802	1669	409
803	1671	407
804	1672	405
805	1673	402
806	1675	400
807	1676	398
808	1677	396
809	1678	393
810	1680	391
811	1681	389
812	1684	387
813	1686	385
814	1687	383
815	1688	380
816	1689	378
817	1691	376
818	1692	373
819	1693	371
820	1695	369
821	1696	367
822	1698	365
823	1700	363
824	1701	360
825	1703	358
826	1704	356
827	1705	354
828	1706	352
829	1708	349
830	1709	347
831	1710	345
832	1712	343
833	1714	341
834	1717	339
835	1718	337
836	1720	334
837	1721	332
838	1722	330
839	1724	328
840	1725	326
841	1727	324
842	1729	322
843	1731	320
844	1732	317
845	1734	315
846	1735	313
847	1736	311
848	1737	309
849	1739	306
850	1740	304
851	1742	302
852	1744	300
853	1746	298
854	1747	296
855	1748	294
856	1749	291
857	1751	289
858	1753	287
859	1754	285
860	1757	283
861	1761	281
862	1763	279
863	1764	277
864	1765	275
865	1766	273
866	1768	271
867	1769	269
868	1770	266
869	1773	264
870	1775	262
871	1776	260
872	1777	258
873	1778	256
874	1780	254
875	1781	252
876	1783	250
877	1784	247
878	1786	245
879	1789	244
880	1791	241
881	1792	239
882	1794	237
883	1795	235
884	1796	233
885	1797	231
886	1799	229
887	1800	227
888	1802	225
889	1804	223
890	1805	220
891	1807	218
892	1808	216
893	1810	214
894	1811	212
895	1812	210
896	1813	208
897	1814	206
898	1816	204
899	1818	202
900	1820	200
901	1822	197
902	1823	195
903	1824	193
904	1826	191
905	1827	189
906	1828	187
907	1829	185
908	1831	183
909	1834	181
910	1835	179
911	1837	177
912	1838	175
913	1839	173
914	1841	171
915	1842	168
916	1843	166
917	1845	164
918	1846	162
919	1848	160
920	1850	158
921	1852	156
922	1853	154
923	1854	152
924	1855	150
925	1857	148
926	1858	146
927	1859	144
928	1860	142
929	1863	140
930	1865	138
931	1866	136
932	1867	134
933	1868	132
934	1870	130
935	1871	127
936	1872	125
937	1874	123
938	1875	121
939	1877	119
940	1880	117
941	1881	115
942	1883	113
943	1884	111
944	1885	109
945	1886	107
946	1888	105
947	1889	103
948	1890	101
949	1893	99
950	1895	97
951	1897	95
952	1898	93
953	1899	91
954	1900	89
955	1901	87
956	1903	85
957	1904	83
958	1905	81
959	1908	79
960	1910	77
961	1911	75
962	1913	73
963	1914	71
964	1916	69
965	1917	67
966	1918	65
967	1919	63
968	1921	61
969	1924	59
970	1926	57
971	1928	55
972	1929	53
973	1930	51
974	1931	49
975	1933	47
976	1934	45
977	1935	43
978	1938	41
979	1940	39
980	1941	37
981	1943	35
982	1944	33
983	1946	31
984	1947	29
985	1948	27
986	1949	25
987	1951	23
988	1953	21
989	1955	19
990	1957	17
991	1958	15
992	1959	13
993	1961	11
994	1962	9
995	1963	7
996	1966	5
997	2005	4
998	2007	2
999	2009	0
